Sofia Kogan: (0:54) : ‫סחר פול, נתניהו אופטימי. ‫סליחה קוד. ‫נתניהו, פתיבי. ‬‬‬
Sofia Kogan: (1:06) : ‫סופיה, מה ‬
עומר טייכר | מדריך וטכנאי מחשבים: (1:06) : קורה? ‫תודה רבה. ‫סופיה, מה קורה? ‬‬
עומר טייכר | מדריך וטכנאי מחשבים: (1:12:17) : הבנת או לא הבנת? שוב, קטן לי מדי, אני רק רואה את התגובות פחות את השמות. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:12:25) : סבבה, אתם מוזמנים גם להיכנס לקבוצת הוואטסאפ שלי, שאני אשלח אותה גם בסוף בקישור המייל של הסיכום, ואז אני משתף שם טיפים וטריקים כל יום או כל יומיים, כל שבוע, ‫מתי שיוצא לי, ‫ואתם יכולים, יהיה לכם יותר קל ‫ליצור איתי קשר דרך הקבוצה. ‬‬‬
עומר טייכר | מדריך וטכנאי מחשבים: (1:12:50) : ‫לירון, יש לי תחושה שאתה רוצה ‫לשאול שאלה. ‬‬
עומר טייכר | מדריך וטכנאי מחשבים: (1:12:55) : ‫אתה נראה לי שם ‬
עומר טייכר | מדריך וטכנאי מחשבים: (1:12:58) : סקרן. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:13:02) : ‫אוקיי, אתה לא רוצה לשאול שאלה. ‫מישהו רוצה לשאול שאלה? ‫שירים את היד. ‬‬‬
עומר טייכר | מדריך וטכנאי מחשבים: (1:13:08) : ‫אני אוריד את עצמי גם מה... ‬
עומר טייכר | מדריך וטכנאי מחשבים: (1:13:11) : ‫אני אוריד את עצמי גם מה... ‬
עומר טייכר | מדריך וטכנאי מחשבים: (1:13:16) : עכשיו כולם רואים את כולם. 
אורי אסיף: (1:13:18) : רואה אותי? 
עומר טייכר | מדריך וטכנאי מחשבים: (1:13:19) : אני עושה כבר, אה, אני רואה, אוקיי, יפה. 
אורי אסיף: (1:13:22) : רואה אותי? 
עומר טייכר | מדריך וטכנאי מחשבים: (1:13:24) : שומע. 
אורי אסיף: (1:13:25) : אני רוצה להבין עוד פעם, למרות שהסברת את זה, אבל זה כל כך מהר שאני לא הספקתי. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:13:31) : אז את תשאל, אני אענה. 
אורי אסיף: (1:13:33) : יש הבדל, ואני יודע שיש, בין 
אורי אסיף: (1:13:37) : התקיעה שנקראת מחשבים לבין היחסום שלי. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:13:40) : נכון. 
אורי אסיף: (1:13:41) : אם קלטתי נכון, אז במחשבים זה הכל מגובה, אבל ביחסום שלי זה הכל מסונחרן. לא, 
עומר טייכר | מדריך וטכנאי מחשבים: (1:13:48) : לא, לא, ההפך, ההפך. 
אורי אסיף: (1:13:51) : במחשבים? 
עומר טייכר | מדריך וטכנאי מחשבים: (1:13:52) : זה מסונחרן עם המחשב. 
אורי אסיף: (1:13:54) : כן. וביחסון 
עומר טייכר | מדריך וטכנאי מחשבים: (1:13:56) : שלי זה מגובה. 
אורי אסיף: (1:13:57) : אז ההפך. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:13:59) : ההפך, כן. 
אורי אסיף: (1:14:02) : גם אתה... 
עומר טייכר | מדריך וטכנאי מחשבים: (1:14:03) : מה היה הבדל בין יחסון לסנחון, הבנת? 
אורי אסיף: (1:14:05) : כן, זה אני יודע. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:14:06) : אוקיי. 
אורי אסיף: (1:14:07) : זה נכון גם לגבי הנייד העתיקיות האלה. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:14:10) : אמת. 
אורי אסיף: (1:14:11) : נכון? 
עומר טייכר | מדריך וטכנאי מחשבים: (1:14:12) : אמת. 
אורי אסיף: (1:14:13) : בסדר תודה. אגב אתה שולח לנו את הקלטה של כל הסיפור הזה? 
עומר טייכר | מדריך וטכנאי מחשבים: (1:14:17) : בוודאי, אני אחרי זה מקליט, אני מחר טיפה חותך את זה, אז מעלה את זה ליוטיוב, שולח לכם, ואתם תוכלו לצפות. 
אורי אסיף: (1:14:24) : רואים ביוטיוב אני עושה הצירה, כותב באקספורד. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:14:27) : או נכון, ולזה יש ביוטיוב, נשכח. 
אורי אסיף: (1:14:30) : בסדר גמור, תודה רבה. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:14:31) : בקף, בקף, זה חשוב מאוד, אני עושה את זה באהבה. 
אורי אסיף: (1:14:34) : תודה תודה, מצוין. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:14:36) : אם יש לך עוד שאלה, גם לא בנושא הזה אתה יכול לשאול, אני יודע הכל. 
אורי אסיף: (1:14:42) : כמו בינה מלאכודית אתה אומר, אתה יודע 
עומר טייכר | מדריך וטכנאי מחשבים: (1:14:45) : הכל. כמו בינה של הטכנאים, כמו בינה מלאכודית של הטכנאים. 
אורי אסיף: (1:14:48) : בניה טבעית. יכול להיות שאני אתקשר אליך בעניין העבודה העתית של המחשב, אבל אני צריך עוד לא מיד, יכול 
עומר טייכר | מדריך וטכנאי מחשבים: (1:14:56) : להיות. 
אורי אסיף: (1:14:57) : בסדר, 
עומר טייכר | מדריך וטכנאי מחשבים: (1:14:58) : אני גם עושה את זה ללא עלות, אני מודריך טיק טיק טיק מה הבעיה שמה, אתה לא צריך לפחד או משהו, זה לא שעכשיו... 
אורי אסיף: (1:15:03) : אתה מתחבר מרחוק ובודק 
עומר טייכר | מדריך וטכנאי מחשבים: (1:15:05) : את ה... כן, כן, כן, כן. 
אורי אסיף: (1:15:07) : יכול להיות. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:15:07) : אני עושה את זה מאוד מהר, זה לא לוקח לי שעות, אל תדאגו. 
אורי אסיף: (1:15:11) : בסדר גמור, יכול להיות שנתקשרו. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:15:13) : תודה, תודה. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:15:17) : עוד שאלות, מענות, בקשות, טענות. 
דוד: (1:15:21) : היי, מדבר דודי. 
דוד: (1:15:24) : כשנכנסתי באמצע, 
דוד: (1:15:26) : רציתי לשאול אם אפשר, אולי פספסתי, על דווקא ה-OneDrive. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:15:31) : אוקיי. 
דוד: (1:15:32) : כי בעיקר אני רואה שדיברת על הGoogle. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:15:35) : נכון, כי איתו אני עובד. 
דוד: (1:15:38) : זה סבבה, אבל למה אני שואל את זה? כי כל פעם המחשב שלי, גם לפטופ אחר שעבדתי איתו, הם צועקים על ה-OneDrive הזה, 
דוד: (1:15:49) : שהייתי שמח לשמוע אולי קצת מה ההבדלים, אם יש יתרונות, והאם זה בכלל עין נוח, תאומל Google Drive, כמו... 
עומר טייכר | מדריך וטכנאי מחשבים: (1:15:59) : זה לא, זה, ההבדל העיקרי 
עומר טייכר | מדריך וטכנאי מחשבים: (1:16:06) : בין ה-OneDrive לגוגל דרייב, 
עומר טייכר | מדריך וטכנאי מחשבים: (1:16:10) : זה קודם כל עתיקייה וירטואלית, זה ההבדל העיקרי בין הוואן דרייב לגורל דרייב. קודם כל עתיקייה וירטואלית שקודם 
עומר טייכר | מדריך וטכנאי מחשבים: (1:16:15) : כל אני פחות מתחבר לוואן דרייב ואני אסביח לך גם למה. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:16:20) : הוא כמו 
דוד: (1:16:21) : פוטין 
עומר טייכר | מדריך וטכנאי מחשבים: (1:16:21) : ברוסיה מה זאת אומרת הוא בעצם לוקח את כל התיקיות שלנו. ושואב אותם לתוך הוואן דרייב הוא לוקח את המסמכיר. ואת 
דוד: (1:16:32) : התמונות 
עומר טייכר | מדריך וטכנאי מחשבים: (1:16:32) : ואוטומטי מעביר אותם לוואן דרייב אוקיי הוא בעצם קופה עלינו לגבות את הקבצים והתיקיות שלנו, הוא קופה את זה עלינו. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:16:41) : ומה זה יוצר מצב? 
דוד: (1:16:43) : זה מה ששמתי לב. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:16:44) : מה? 
דוד: (1:16:45) : אני אומר, שמתי לב לזה ש... שמת 
עומר טייכר | מדריך וטכנאי מחשבים: (1:16:47) : לב לזה שהוא קופה עליך לגבות, שמת לב? 
דוד: (1:16:50) : כן, כן, ואני לא... 
עומר טייכר | מדריך וטכנאי מחשבים: (1:16:52) : שמת לב שהתיקיות שלך נמצאות בתוך תיקיית OneDrive? 
דוד: (1:16:56) : כן, כן. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:16:56) : יפה. 
דוד: (1:16:57) : ולכן אני אקיא על כל הדבר הזה, בשבילי הוא משהו לא מובן. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:17:01) : נכון, זה רק ה-OneDrive עושה את זה, והוא עושה את זה מהסיבה הפשוטה שאתה תגבא את הקבצים שלך ותפוצץ את הענן במקום ותקנה את הענן בתשלום, זו המטרה שלו. אין יותר מילאי הבדלים, בסך הכל העננים עובדים באותה צורה, למשל הענן 
עומר טייכר | מדריך וטכנאי מחשבים: (1:17:22) : של Microsoft OneDrive, אין לו תקיעה וירטואלית כמו הGoogle Drive, יש תקיעה בצד, אתה יכול לראות אותו ברשימה בצד, שזה גם סוג של תקיעה וירטואלית כמו הGoogle Drive, נראה טיפה שונה. העניין העיקרי בו שהוא קופה עליך 
עומר טייכר | מדריך וטכנאי מחשבים: (1:17:39) : לגבות לעומת הגוגל דרייב, שהוא לא קופה עליך. אבל לגבי המחירים אני לא בדיוק יודע, אבל צורת העבודה שלהם היא מאוד דומה. אני למשל גיליתי שבתפעול של המחשב, הגוגל לראית תופס פחות נפח מהזיכרון, הוא יותר מקל על המחשב, 
עומר טייכר | מדריך וטכנאי מחשבים: (1:17:58) : הוא יותר, הוא פחות יוצר בעיות, פחות נתקע, הוא עובד בצורה טובה יותר. אני פחות אוהב את הקפייה שקופים אליי לגבות קבצים. בעוד שנותנים לי את החופש לגבות מה שאני רוצה, לי זה יותר קלילו. 
דוד: (1:18:14) : זאת אומרת זה פשוט של מייקרוסופט והם ככה עובדים. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:18:17) : נכון, אבל באופן עקרוני, הענן, כולם עובדים בצורה זהה, גם כל השרתים האלה הם שרתים הכי מהירים שיש, אז אין בהבדל במהירות, דברים כאלה. זה פשוט הבדל בטכניקה שלהם, איך הם עובדים, מה הם מגבים, ואיך זה עובד בצורה כללית. 
דוד: (1:18:34) : וה-dropbox, מה שהזכרת 
עומר טייכר | מדריך וטכנאי מחשבים: (1:18:37) : כאן. אותו דבר, אותו דבר. הוא דומה מאוד לגוגל דרייב. אין לו קונן וירטואל, יש לו קונן 
עומר טייכר | מדריך וטכנאי מחשבים: (1:18:44) : כמו ה-OneDrive. גם הוא מגבד את כל התיקיות שאתה רוצה. הוא מאוד דומה לגוגל דרייב, הוא מאוד מאוד דומה. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:18:52) : אני חושב שהוא גם מאוד מאוד איכותי דרך אגב הוא מאוד מאוד איכותי אני בגלל שגוגל אחד מהדברים שאני אוהב שהוא מסתנכן עם כל השירותים של גוגל, קל להעביר ממנו לג'ימל קבצים, 
דוד: (1:19:07) : ולעבוד עם 
עומר טייכר | מדריך וטכנאי מחשבים: (1:19:08) : הגוגל שיץ, 
דוד: (1:19:10) : אתה אומר מהגוגל דרייב או מה? 
עומר טייכר | מדריך וטכנאי מחשבים: (1:19:12) : מהגוגל דרייב, כשאתה נכנס לענן של הגוגל דרייב, אתה יכול ליצור קבצי גוגל שיץ, גוגל דוקס, שזה כמו הוורד פאירפוינט, אתה יכול ליצור את הסלייט, בעצם יש לך כל מיני שירותים נוספים שהגוגל דרייב נותן לו, של הדרוב בוקס והנן של מייקרוספט לא נותנים לך את זה, זה בעצם, אם אתה אוהב לעבוד עם השירותים האלה, זה כן חשוב. 
דוד: (1:19:38) : כן, כן. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:19:40) : בעצם גוגל נותנים לך כל מיני תוספות, כל מיני יתרונות כאלה, שהשאר העננים לא נותנים לך. וגם אני לא יודע מה השאר המחירים בעננים, אבל אני חושב שכולם פחות או יותר אותם מחירים, אני לא בטוח, לא יודע. 
דוד: (1:19:54) : בסדר, תודה רבה. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:19:56) : בכיף, בכיף. 
דוד: (1:19:57) : תודה. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:20:00) : שאלות, מענות, בקשות, מה 
Zoom user: (1:20:02) : שאתם רוצים 
עומר טייכר | מדריך וטכנאי מחשבים: (1:20:03) : שתגידו. אפשר? 
Zoom user: (1:20:05) : ברור. מה נשמר לי אוטומטית בענן של אפל? 
עומר טייכר | מדריך וטכנאי מחשבים: (1:20:10) : בענן של אפל? לא יודע. אני גם יכול להגיד לך שאני לא מאוד מתמחה בכל המוצרים של אפל. ה-iCloud. זה מין עולם שאני פחות מתעסק איתו ביום יום כי אין לי גם אין לי מחשב של אפל וגם אין לי אייפון אז אני לא כל כך יודע, אם את רוצה לדעת יותר יש לי קולגות שמתעסקים בזה וגם עוסקים בהדרכה, שמחו לעזור לך. אני פחות, כי אני לא עונה על דברים שאני לא מכיר ולא מספיק יודע. 
Zoom user: (1:20:40) : אז יש לי קבצים, נאמר שיש לי עבודות שאני עושה באייפון. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:20:44) : אוקיי. 
Zoom user: (1:20:44) : אז לדעתי הם נשמרים לי אוטומטית. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:20:47) : באי-קלאוד, באי-קלאוד. 
Zoom user: (1:20:49) : אז אני יכולה להעביר אותם? 
עומר טייכר | מדריך וטכנאי מחשבים: (1:20:51) : אתה יכולה להעביר אותם, בטוח שזה דרך להעביר אותם, אבל באופן עקרוני אם יש לך אייפון, 
עומר טייכר | מדריך וטכנאי מחשבים: (1:21:00) : בכל מקרה במחשב, עדיף גוגל דרייבר. אני רוצה להגיד לך משהו, אני לא בטוח בזה, תני לי לבדוק את זה אוקיי? לא שאלו אותי מספיק במהלך ההרצאות על איי-קלאוד, אז לא מספיק חקרתי את הנושא הזה, תני לי לבדוק את זה ואני אחזור אלייך. שלחי לי וואטסאפ עם השאלה שלך ותני לי לבדוק את זה. 
Zoom user: (1:21:21) : כי אני הולכת פשוט לאיבוד בכל המקומות שהדברים נשמרים. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:21:25) : אני יודע, אני יודע, וזה לא כיף, וזה לא כיף. תני לי, את שאלת אותי 
Zoom user: (1:21:30) : עם 
עומר טייכר | מדריך וטכנאי מחשבים: (1:21:30) : העננים? 
Zoom user: (1:21:31) : כן, כן. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:21:32) : את שאלת אותי. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:21:34) : אני כן חושב שכדאי שאני אתחבר למחשב שלך, לבדוק לך איזה בדיוק העננים עובדים, כי זה כן חשוב לראות את זה, כי אני לא מספיק מבין מה עובד ומה לא. את יכולה להגיד לי, מה עובד, שאת מדברת על כמה העננים, את יכולה להגיד לי אם יש לך כמה עננים שעובדים במקביל? 
Zoom user: (1:21:51) : אני חושבת שכן, אבל אני צריך קשר. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:21:53) : צריך לבדוק את זה, כי אני יכול לתת לך תשובה שלא בטוח שהיא תהיה רלוונטית לגביך, כי אני לא רואה את המחשב. 
Zoom user: (1:22:00) : בסדר, אני צריך קשר, תודה, היה מעניין מאוד. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:22:03) : זה כיף, שמחתי. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:22:05) : ותירשמי להרצאות הבאות, אני מאמין שיהיה סופר מעניין. 
Zoom user: (1:22:09) : אני ארשם. 
Zoom user: (1:22:11) : ביי. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:22:13) : עוד שאלות? אני אענה. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:22:16) : אני עושה את זה בשביל את המכירה הפומבית שלוש 
עומר טייכר | מדריך וטכנאי מחשבים: (1:22:22) : שתיים 
עומר טייכר | מדריך וטכנאי מחשבים: (1:22:23) : אחד 
עומר טייכר | מדריך וטכנאי מחשבים: (1:22:25) : ביי ביי ערב טוב
